feature,mean_abs_shap
anetime,0.07128451545953368
dpatrm,0.053676289611274436
prpt,0.04996329685998836
prptt,0.03558242981379252
othercpt9,0.0339055081600618
optime,0.029096400571280913
dprinr,0.02619111589115065
dprptt,0.025501370509053125
dprpt,0.025099048654380927
nutr_support,0.023900285619412907
concpt4,0.02185567130354792
bleed_ml_tot,0.018726190661563946
concpt3,0.018347278262338673
concpt7,0.017877032507628222
prhct,0.01732246756103303
prvpcs,0.0162412050165274
operyr,0.01601261204494815
weight,0.01565464212925801
anesurg,0.015623257145545466
othercpt4,0.015513023744872914
concpt2,0.014653514838386002
height,0.014501736199643223
concpt6,0.014308473781802224
bmi,0.014122913449729248
prinr,0.01347125219544906
age_years,0.012861058678202909
dothbleed,0.012498368574695199
crf_No cardiac risk factors,0.012295153938081355
asaclas_ASA 3 - Severe Disturb,0.012140353399393513
acq_abnormality,0.010772938269277128
concpt1,0.010735914194357973
podiag10,0.01033386548732159
ostomy_type_Upper Gastrointestinal Tract,0.009922070038888807
othercpt5,0.009778856095414802
prbili,0.009286401174760301
asaclas_ASA 2 – Mild Systemic D,0.009099361073225126
othercpt8,0.008485145675061732
pralkph,0.008005373660511591
readmpodays1,0.007824352208625006
bmi_quality_flag,0.007785765457027627
workrvu,0.0077261533529781705
othercpt6,0.007616236181791374
pralbum,0.0072188134757112075
prwbc,0.0070996053286807356
dischdest_Home,0.006965284036115602
dprplate,0.006769959401128754
othercpt10,0.006696307377163014
prcreat,0.006657083474875836
othercpt1,0.0066049873925656
cpt,0.006574059389548053
othercpt2,0.006463214562668099
hdisdt,0.006377017766080039
dprwbc,0.006308900272004741
othercpt7,0.006183861230731269
dprna,0.005944454163318548
prsodm,0.0058642309610250805
admyr,0.005685952315208806
dpralbum,0.005553583157981572
surgane,0.005452559129738828
dprbun,0.005383605113903291
dprcreat,0.005381585418835921
dprbili,0.0052943865090561626
nothbleed,0.005137315094356965
pufyear,0.004986702346495182
othercpt3,0.004951012621353763
othbleed_No Complication,0.004877021833440997
ostomy,0.004673437482920446
dprsgot,0.004339706431987963
prbun,0.004292332890652842
prsgot,0.0042523279782467616
prplate,0.004137350998017454
ethnicity_hispanic_Yes,0.004096465602830818
dprhct,0.0040490165854823075
concpt9_nan,0.00402923726976054
caseid,0.003791640655513088
prem_birth_No,0.003687145583608536
impcogstat,0.0033612338412691845
concpt5,0.00319070716943665
concpt9_14302.0,0.0030130091099582427
concpt8_61783.0,0.0026843908623595523
asaclas_ASA 2 - Mild Disturb,0.0025480418766762156
tracheostomy,0.002461375400913825
sex_Male,0.002329706932411508
concpt10_nan,0.0021257448593189634
prsepis_nan,0.002044425109538992
prncptx_EXPLORATION OF SPINAL FUSION,0.0020269687390363426
lapthor_mis_nan,0.001866368245646487
dischdest_Rehab,0.0018606669503166047
prncptx_REINSERTION OF SPINAL FIXATION DEVICE,0.0018458720344068395
readmission1,0.0017916146303245993
dpralkph,0.0017020797358157274
"prncptx_ARTHRODESIS, POSTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 7 TO 12 VERTEBRAL SEGMENTS",0.0016683345388888917
cerebral_palsy,0.0016391650188303944
concpt8_nan,0.0015200542267944095
surgspec_Orthopedics,0.0014862059037666457
durninfec,0.001480876621137558
crf_Minor cardiac risk factors,0.0014747147229695996
struct_pulm_ab,0.0013736755526199045
urninfec_Urinary Tract Infection,0.0013382355600366773
"prncptx_ARTHRODESIS, ANTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 4 TO 7 VERTEBRAL SEGMENTS",0.001333839168531731
"prncptx_ARTHRODESIS, POSTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 13 OR MORE VERTEBRAL SEGMENTS",0.0012538831318214543
dneurodef,0.0012143967711256195
concpt8_14302.0,0.0011752462692804267
surgspec_Pediatric Neurosurgery,0.0011472814113446703
"prncptx_ARTHRODESIS, ANTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 8 OR MORE VERTEBRAL SEGMENTS",0.0010887819074300012
neuromuscdis,0.0009924223239891543
race_Black or African American,0.0009262241592033367
ventilat,0.0009076890692620897
race_Asian,0.0008695153462032585
dreintub,0.0008606201646859065
prem_birth_35-36 completed weeks gestation,0.0008386228754241084
