feature,mean_abs_shap
days_to_surgery,0.7154872474998404
totchg,0.3241005595016606
age,0.27024397531736294
aprdrg_severity,0.24401670131955197
number_of_procedures_category,0.18667598842177663
comorbidity_primary,0.16010178109253867
comorbidity_secondary,0.05976979553277916
hosp_bedsize,0.05816005486359316
pl_nchs,0.048885238117569
elective,0.03848482462257452
hosp_urcat4,0.0328636159245845
aweekend,0.023456896970783906
zipinc_qrtl,0.022021170145013667
h_contrl,0.02027741631132451
pay1,0.014402988256288557
aprdrg_risk_mortality,0.012468333431703569
dqtr,0.01070199748481905
female,0.009626595498250533
hosp_ur_teach,0.006507023517018971
samedayevent,0.0064551874508254736
resident,0.004472279125702791
rehabtransfer,0.0043308962429142875
died,0.00039558514088562473
