feature,mean_abs_shap
inout_Outpatient,0.6289380862331088
anesurg,0.2739521620157478
prncptx,0.23060023908020177
workrvu,0.16727778786078026
"transt_Admitted through ER, including outside ER with direct hospital admission",0.1632327203600231
anetime,0.14983360764193876
dpatrm,0.127533666594961
casetype_Urgent,0.11521972570807142
podiag10,0.0924818120255003
dprwbc,0.07811380682365639
dprna,0.07458768922579394
cerebral_palsy,0.07422845735955659
prwbc,0.07334744621889053
race_White,0.05844677501356045
dprplate,0.04784120933657455
dprptt,0.035271768122598725
prplate,0.03218508042899412
caseid,0.027083825877064524
prhct,0.02352656548827535
cpt,0.023091693757570572
dothbleed,0.02291318338823258
asaclas_ASA 1 – Normal/Healthy,0.02289850722317343
lapthor_Open Only or N/A,0.022342703796864906
hdisdt,0.02228011403846989
dprinr,0.019846715791947335
operyr,0.01903613173247568
age_years,0.018679109190278056
bleed_ml_tot,0.017207218081562784
dprhct,0.01712599267488463
weight,0.01686359224945567
pralkph,0.015531420468955802
othercpt1,0.01512071487918438
prbili,0.014891226881927375
height,0.014622190626405171
prem_birth_Unknown,0.014456434926489393
othercpt9,0.014422101351987297
dprcreat,0.014283915019047144
optime,0.013497987685703376
prsodm,0.013497854962392627
dprsgot,0.01332503952922867
casetype_Emergent,0.013213843038433227
surgspec_Orthopedics,0.012638980234569473
surgane,0.012405124028559925
prbun,0.01165547592650185
race_Unknown/Not Reported,0.01150917614805252
asaclas_ASA 2 - Mild Disturb,0.011176382348535113
bmi,0.010879579816396203
prpt,0.009826290126979881
othercpt10,0.009453687415349419
dprpt,0.0088954474932088
concpt1,0.008577106019852407
ethnicity_hispanic_Unkn,0.00841207054753802
concpt8_64643.0,0.008260153016905428
impcogstat,0.008086434943332988
othercpt8,0.007971258040211314
othercpt3,0.007723231097753973
othercpt4,0.007641894906579344
pufyear,0.007630051851269811
admyr,0.00748719876021142
nothbleed,0.007365518127507808
dischdest_Home,0.006266408653763244
concpt3,0.0060433591212876
concpt2,0.006004162689943221
othercpt7,0.005690271166370748
pralbum,0.0054944399377968595
othercpt5,0.0050338478949133545
asthma,0.004829751107178925
dprbun,0.004740610355389484
acq_abnormality,0.004721846936567999
concpt4,0.0046891160924812745
