feature,mean_abs_shap
hosp_bedsize,0.3317546170258816
h_contrl,0.17345495166490427
hosp_urcat4,0.16264128627757057
totchg,0.15955633806705288
pl_nchs,0.136042025721245
age,0.10982656487153142
number_of_procedures_category,0.10268340755063077
aprdrg_severity,0.09669925121215218
pay1,0.09319202602823663
comorbidity_secondary,0.08731735916266224
comorbidity_primary,0.08548086892510914
female,0.06911837688246698
zipinc_qrtl,0.060741871998683805
resident,0.037237368178340204
days_to_surgery,0.03513229106493567
aweekend,0.03362396724930687
aprdrg_risk_mortality,0.024415181585553794
elective,0.01354222136520633
dqtr,0.011703030074591288
hosp_ur_teach,0.008170227509921205
samedayevent,0.003924828315094224
rehabtransfer,0.0012668678402159251
died,2.8687947739913656e-05
