feature,mean_abs_shap
height,0.3138249442338364
othsysep_Systemic Sepsis,0.10580648438566519
prplate,0.0906772029540039
optime,0.07902392360885954
surgane,0.07768842731642178
ethnicity_hispanic_Yes,0.07624908779266304
ped_sap_timelast,0.06583456454301988
race_White,0.06010847029969086
sex,0.05732434085423474
dpatrm,0.05708715814530741
bleed_ml_tot,0.05483490074608561
bleeding_allogeneic,0.052483545208096186
ped_sap_redosed,0.05030880285492434
prwbc,0.049373433263223035
prcreat,0.04685746820908757
ped_sap_time1,0.045015468855710665
ped_spn_post_neurodeftype_Spinal cord injury,0.04487356678890186
prbun,0.042765817099847336
ped_sap_intraop_findings,0.040896713286340675
othercpt2,0.04062480479532624
ped_spn_antibio_wnd,0.04006988537500357
prptt,0.037668302593586715
prhct,0.03706855647671875
prsgot,0.03598670934686535
wndinf,0.03564615276735945
ped_sap_name3_nan,0.03474391210233442
tothlos,0.03446523986942792
weight,0.0344410652201852
anetime,0.03274697647966179
ped_spn_trnsvol_cell,0.030295237919973277
prpt,0.029993462803712526
bmi_quality_flag,0.029762517156346563
acq_abnormality,0.02818526382246744
othercpt7,0.027876245196016503
crd_icd9_1,0.027637407890973333
"prncptx_ARTHRODESIS, POSTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 7 TO 12 VERTEBRAL SEGMENTS",0.027225936155600882
ped_spn_trnsvol_allogen,0.02682082349000778
pralkph,0.025082919014637085
anesurg,0.024708840137682944
seizure,0.024593347861664016
othercpt3,0.0243947763276455
ped_sap_time2,0.024232575020458315
ped_spn_post_neurodeftype_nan,0.024145385330124152
pralbum,0.023964083938608965
bleeding_autologous,0.02221229223765909
age_days,0.02058638015951895
inout_Outpatient,0.020272985391933708
ped_spn_post_trnsvol_allogen,0.019867057236712022
nutr_support,0.019789575419892933
surgspec_Pediatric Orthopedic Surgery,0.019488068360733815
yrdeath,0.019225930222404885
podiag,0.01872296219920791
transt_Admitted from home/clinic/doctor's office,0.01837376201018618
neuromuscdis,0.01616485535881578
combo_abx_regimen_cefazolin_ceftazidime_ceftriaxone,0.016106957597796755
operyr,0.01607581421086538
